Name, NSSDC,LaunchLoc,LaunchCountry,LaunchDate,URL
Mercury Redstone 1A,MERCR1A,Cape Canaveral, United States,12/19/60,/nmc/spacecraftDisplay.do?id=MERCR1A
Discoverer 19,1960-019A,Vandenberg AFB, United States,12/20/60,/nmc/spacecraftDisplay.do?id=1960-019A
Mercury Redstone 2,MERCR2,Cape Canaveral, United States,1/31/61,/nmc/spacecraftDisplay.do?id=MERCR2
SAMOS  2,1961-001A,Point Arguello, United States,1/31/61,/nmc/spacecraftDisplay.do?id=1961-001A
Sputnik  7,1961-002A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,2/4/61,/nmc/spacecraftDisplay.do?id=1961-002A
Sputnik  8,1961-003C,Tyuratam (Baikonur Cosmodrome), U.S.S.R,2/12/61,/nmc/spacecraftDisplay.do?id=1961-003C
Venera  1,1961-003A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,2/12/61,/nmc/spacecraftDisplay.do?id=1961-003A
Explorer  9,1961-004A,Wallops Island, United States,2/16/61,/nmc/spacecraftDisplay.do?id=1961-004A
Discoverer 20,1961-005A,Vandenberg AFB, United States,2/17/61,/nmc/spacecraftDisplay.do?id=1961-005A
Discoverer 21,1961-006A,Vandenberg AFB, United States,2/18/61,/nmc/spacecraftDisplay.do?id=1961-006A
Mercury Atlas 2,MERCA2,Cape Canaveral, United States,2/21/61,/nmc/spacecraftDisplay.do?id=MERCA2
Transit 3B,1961-007A,Cape Canaveral, United States,2/22/61,/nmc/spacecraftDisplay.do?id=1961-007A
Explorer S45,EXS-451,Cape Canaveral, United States,2/24/61,/nmc/spacecraftDisplay.do?id=EXS-451
Sputnik  9,1961-008A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,3/9/61,/nmc/spacecraftDisplay.do?id=1961-008A
Mercury Redstone BD,MERCRBD,Cape Canaveral, United States,3/24/61,/nmc/spacecraftDisplay.do?id=MERCRBD
P 14,1961-010A,Cape Canaveral, United States,3/25/61,/nmc/spacecraftDisplay.do?id=1961-010A
